# noADASFins (Up to date),,,
# 711 data points written for 4 variables.,,,
#,,,
# Time (s),Altitude (ft),,Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds,,,
# Event IGNITION occurred at t=0 seconds,,,
58.682,2554.2,,0.063963
59.182,2521.6,,0.061433
59.682,2489.1,,0.066415
60.182,2456.6,,0.058487
60.682,2424,,0.066845
61.182,2391.5,,0.068427
61.682,2359,,0.056201
62.182,2326.6,,0.060952
62.682,2294.1,,0.060005
63.182,2261.7,,0.063944
63.682,2229.3,,0.062405
64.182,2196.8,,0.059023
64.682,2164.5,,0.063902
65.182,2132.1,,0.061863
65.682,2099.7,,0.059097
66.182,2067.4,,0.061346
66.682,2035,,0.060428
67.182,2002.7,,0.060002
67.682,1970.4,,0.060493
68.182,1938.1,,0.064588
68.682,1905.8,,0.062437
69.182,1873.6,,0.058805
69.682,1841.3,,0.05805
70.182,1809.1,,0.063322
70.682,1776.9,,0.059124
71.182,1744.7,,0.058333
71.682,1712.5,,0.058763
72.182,1680.4,,0.060482
72.682,1648.2,,0.062325
73.182,1616.1,,0.056561
73.682,1584,,0.063393
74.182,1551.8,,0.059225
74.682,1519.8,,0.060493
75.182,1487.7,,0.062005
75.682,1455.6,,0.06165
76.182,1423.6,,0.061709
76.682,1391.5,,0.068389
77.182,1359.5,,0.060893
77.682,1327.5,,0.05986
78.182,1295.5,,0.059744
78.682,1263.6,,0.061298
79.182,1231.6,,0.061498
79.682,1199.7,,0.065517
80.182,1167.8,,0.062464
80.682,1135.9,,0.057496
81.182,1104,,0.058432
81.682,1072.1,,0.061981
82.182,1040.2,,0.058871
82.682,1008.4,,0.062414
83.182,976.56,,0.06248
83.682,944.74,,0.056691
84.182,912.94,,0.060328
84.682,881.16,,0.060091
85.182,849.38,,0.057632
85.682,817.63,,0.058251
86.182,785.89,,0.065375
86.682,754.16,,0.059646
87.182,722.45,,0.055531
87.682,690.75,,0.056809
88.182,659.07,,0.058455
88.682,627.4,,0.061078
89.182,595.75,,0.065162
89.682,564.12,,0.063722
90.182,532.49,,0.051702
90.682,500.89,,0.053389
91.182,469.29,,0.055471
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=91.183 seconds,,,
91.682,437.71,,0.057219
91.683,437.61,,1040.4
91.685,437.51,,985.38
91.687,437.41,,931.83
91.689,437.3,,879.73
91.691,437.19,,829.08
91.693,437.08,,779.87
91.695,436.96,,732.11
91.697,436.84,,685.8
91.7,436.71,,640.93
91.703,436.58,,597.52
91.706,436.45,,555.55
91.709,436.3,,515.03
91.712,436.16,,475.95
91.716,436,,438.32
91.72,435.84,,402.14
91.724,435.67,,367.41
91.729,435.5,,334.12
91.735,435.31,,302.29
91.741,435.11,,271.89
91.748,434.9,,242.95
91.755,434.68,,215.46
91.764,434.44,,189.41
91.774,434.17,,164.81
91.785,433.89,,141.65
91.799,433.58,,119.95
91.816,433.23,,99.693
91.836,432.83,,80.885
91.862,432.36,,63.526
91.896,431.8,,47.61
91.946,431.07,,33.138
92.027,430,,20.134
92.218,427.81,,8.5732
92.718,422.29,,-1.5306
93.112,418.02,,3.1292
93.469,414.12,,-4.0771
93.838,410.12,,4.4178
94.161,406.62,,-5.0831
94.452,403.42,,4.6349
94.898,398.47,,-3.462
95.178,395.38,,5.757
95.577,391,,-3.8027
95.889,387.57,,5.1483
96.197,384.25,,-4.1698
96.697,378.92,,3.0913
96.978,375.91,,-5.7702
97.435,371.02,,3.5835
97.702,368.19,,-5.7635
98.19,362.98,,3.0033
98.467,360.01,,-5.3403
98.967,354.68,,3.0857
99.241,351.77,,-5.7122
99.741,346.44,,3.2079
100.01,343.55,,-5.9907
100.47,338.69,,3.389
100.73,335.87,,-5.315
101.23,330.52,,2.5906
101.57,326.87,,-4.8817
101.89,323.38,,4.7848
102.27,319.18,,-4.2856
102.57,315.91,,5.4417
102.94,311.86,,-4.123
103.24,308.5,,4.9052
103.65,304.07,,-4.0488
103.93,300.9,,5.6356
104.29,297.02,,-3.927
104.68,292.85,,4.1932
104.98,289.58,,-5.2257
105.36,285.45,,4.0143
105.69,281.87,,-4.9638
106.02,278.28,,4.6785
106.38,274.35,,-4.4072
106.67,271.21,,5.0544
107.12,266.2,,-3.5988
107.39,263.25,,6.1603
107.77,259.03,,-3.5595
108.12,255.25,,4.4972
108.45,251.63,,-4.6737
108.8,247.83,,4.4759
109.14,244.23,,-4.6974
109.51,240.22,,4.419
109.83,236.78,,-5.1463
110.1,233.75,,4.632
110.6,228.18,,-3.1422
110.86,225.3,,6.3149
111.3,220.39,,-3.5113
111.57,217.45,,5.8358
112.03,212.41,,-3.517
112.29,209.48,,6.0907
112.65,205.56,,-3.4141
113,201.81,,3.8036
113.4,197.38,,-4.0113
113.69,194.17,,5.6053
114.07,189.98,,-4.1139
114.38,186.63,,5.2205
114.75,182.64,,-4.2493
115.02,179.58,,5.0222
115.5,174.27,,-3.4215
115.75,171.48,,6.4517
116.25,165.98,,-3.3202
116.5,163.21,,6.5799
116.97,157.92,,-3.2865
117.24,154.96,,6.127
117.67,150.27,,-3.6709
117.95,147.1,,5.654
118.31,143.2,,-3.9736
118.69,139.14,,4.3536
118.96,136.27,,-5.0117
119.31,132.48,,2.7829
119.66,128.73,,-2.9017
120.16,123.41,,2.7753
120.44,120.41,,-5.0896
120.91,115.35,,3.0691
121.2,112.28,,-5.3249
121.65,107.45,,3.4928
121.92,104.59,,-5.5455
122.42,99.28,,2.9489
122.71,96.163,,-5.54
123.14,91.59,,3.8243
123.42,88.583,,-5.6327
123.78,84.712,,3.6418
124.14,80.771,,-4.0485
124.42,77.736,,4.7252
124.89,72.579,,-3.2007
125.16,69.584,,5.7789
125.59,64.804,,-3.6502
125.87,61.772,,5.8417
126.29,57.061,,-3.7975
126.57,54.018,,5.9315
126.92,50.23,,-3.7404
127.35,45.656,,3.8285
127.63,42.612,,-5.6801
127.94,39.237,,3.8877
128.4,34.169,,-3.4041
128.62,31.767,,6.2192
129.12,26.252,,-2.1407
129.47,22.423,,4.3098
129.82,18.668,,-4.701
130.14,15.186,,4.9313
130.47,11.569,,-4.35
130.86,7.4477,,4.1439
131.15,4.3182,,-5.0616
131.51,0.44698,,3.5754
# Event GROUND_HIT occurred at t=131.89 seconds,,,
131.89,-3.6709,,-4.0257
131.89,0,,0
# Event SIMULATION_END occurred at t=1.7977e308 seconds,,,
# Event SIMULATION_END occurred at t=1.7977e308 seconds,,,
