# Simulation 13 (Up to date)
# 713 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=18.24 seconds
18.289,5111.7,-3.3394,-31.545
18.338,5111.5,-4.8415,-31.093
18.387,5111.2,-6.3502,-30.656
18.437,5110.8,-7.8605,-30.212
18.487,5110.4,-9.3698,-29.763
18.539,5109.9,-10.879,-29.319
18.591,5109.3,-12.385,-28.856
18.644,5108.6,-13.886,-28.378
18.698,5107.8,-15.384,-27.91
18.752,5106.9,-16.877,-27.416
18.807,5105.9,-18.361,-26.895
18.863,5104.9,-19.844,-26.425
18.921,5103.7,-21.332,-26.009
18.979,5102.4,-22.819,-25.543
19.038,5101,-24.31,-25.097
19.099,5099.5,-25.801,-24.628
19.161,5097.8,-27.291,-24.133
19.224,5096.1,-28.781,-23.621
19.288,5094.2,-30.269,-23.108
19.354,5092.1,-31.757,-22.574
19.421,5089.9,-33.234,-21.912
19.491,5087.6,-34.721,-21.485
19.562,5085.1,-36.204,-20.874
19.635,5082.4,-37.681,-20.211
19.71,5079.5,-39.149,-19.529
19.787,5076.4,-40.607,-18.805
19.868,5073.1,-42.059,-18.118
19.95,5069.5,-43.492,-17.302
20.036,5065.7,-44.918,-16.576
20.126,5061.7,-46.33,-15.798
20.219,5057.3,-47.732,-15.018
20.316,5052.6,-49.108,-14.149
20.418,5047.5,-50.456,-13.259
20.525,5042,-51.783,-12.431
20.638,5036.1,-53.103,-11.666
20.759,5029.6,-54.418,-10.893
20.888,5022.5,-55.71,-10.016
21.026,5014.7,-56.97,-9.1228
21.173,5006.3,-58.167,-8.153
21.333,4996.9,-59.342,-7.3345
21.504,4986.6,-60.434,-6.3845
21.69,4975.3,-61.472,-5.564
21.897,4962.5,-62.459,-4.7881
22.13,4947.8,-63.406,-4.0555
22.395,4930.8,-64.285,-3.3105
22.71,4910.5,-65.111,-2.6271
23.099,4885,-65.876,-1.9654
23.55,4855.2,-66.45,-1.2746
24.05,4821.8,-66.874,-0.84798
24.55,4788.4,-67.083,-0.41689
25.05,4754.8,-67.181,-0.19694
25.55,4721.2,-67.209,-0.054743
26.05,4687.6,-67.229,-0.041655
26.55,4654,-67.218,0.02263
27.05,4620.4,-67.201,0.034558
27.55,4586.8,-67.177,0.046832
28.05,4553.2,-67.147,0.061352
28.55,4519.6,-67.116,0.061252
29.05,4486.1,-67.081,0.070472
29.55,4452.5,-67.049,0.064741
30.05,4419,-67.014,0.068925
30.55,4385.5,-66.98,0.069112
31.05,4352,-66.947,0.065304
31.55,4318.6,-66.913,0.067974
32.05,4285.1,-66.879,0.068211
32.55,4251.7,-66.844,0.070434
33.05,4218.3,-66.807,0.073572
33.55,4184.9,-66.776,0.062175
34.05,4151.5,-66.743,0.06471
34.55,4118.2,-66.71,0.066919
35.05,4084.8,-66.675,0.070613
35.55,4051.5,-66.639,0.07036
36.05,4018.2,-66.608,0.061889
36.55,3984.9,-66.576,0.064188
37.05,3951.6,-66.544,0.065133
37.55,3918.3,-66.509,0.068731
38.05,3885.1,-66.477,0.064562
38.55,3851.8,-66.444,0.065848
39.05,3818.6,-66.412,0.065352
39.55,3785.4,-66.378,0.067876
40.05,3752.3,-66.344,0.066617
40.55,3719.1,-66.313,0.06279
41.05,3685.9,-66.281,0.06447
41.55,3652.8,-66.24,0.080723
42.05,3619.7,-66.21,0.060153
42.55,3586.6,-66.18,0.060982
43.05,3553.5,-66.149,0.061235
43.55,3520.5,-66.119,0.061191
44.05,3487.4,-66.086,0.065163
44.55,3454.4,-66.052,0.067893
45.05,3421.3,-66.02,0.06361
45.55,3388.3,-65.989,0.063325
46.05,3355.4,-65.955,0.066814
46.55,3322.4,-65.926,0.059063
47.05,3289.4,-65.895,0.060523
47.55,3256.5,-65.864,0.062944
48.05,3223.6,-65.833,0.062652
48.55,3190.7,-65.798,0.068427
49.05,3157.8,-65.766,0.064373
49.55,3124.9,-65.733,0.06546
50.05,3092,-65.69,0.086573
50.55,3059.2,-65.66,0.060294
51.05,3026.4,-65.631,0.05782
51.55,2993.6,-65.598,0.067105
52.05,2960.8,-65.567,0.061114
52.55,2928,-65.535,0.063531
53.05,2895.2,-65.502,0.065761
53.55,2862.5,-65.47,0.06386
54.05,2829.8,-65.435,0.070629
54.55,2797.1,-65.404,0.062783
55.05,2764.4,-65.373,0.060985
55.55,2731.7,-65.342,0.062875
56.05,2699,-65.31,0.063213
56.55,2666.4,-65.275,0.069874
57.05,2633.8,-65.244,0.061784
57.55,2601.1,-65.214,0.061543
58.05,2568.5,-65.182,0.063577
58.55,2536,-65.15,0.062859
59.05,2503.4,-65.119,0.062611
59.55,2470.8,-65.088,0.062846
60.05,2438.3,-65.05,0.074815
60.55,2405.8,-65.019,0.063019
61.05,2373.3,-64.989,0.059858
61.55,2340.8,-64.96,0.05805
62.05,2308.3,-64.925,0.069663
62.55,2275.9,-64.893,0.064727
63.05,2243.4,-64.865,0.055186
63.55,2211,-64.831,0.068678
64.05,2178.6,-64.803,0.055668
64.55,2146.2,-64.773,0.059831
65.05,2113.8,-64.742,0.061628
65.55,2081.5,-64.713,0.058531
66.05,2049.1,-64.682,0.060628
66.55,2016.8,-64.651,0.063132
67.05,1984.5,-64.619,0.063161
67.55,1952.2,-64.59,0.058046
68.05,1919.9,-64.559,0.06172
68.55,1887.6,-64.53,0.058818
69.05,1855.3,-64.501,0.059039
69.55,1823.1,-64.471,0.059884
70.05,1790.9,-64.441,0.059745
70.55,1758.7,-64.411,0.060085
71.05,1726.5,-64.381,0.059598
71.55,1694.3,-64.351,0.059602
72.05,1662.1,-64.317,0.068647
72.55,1630,-64.289,0.055131
